FLORACODE,KEY,SOURCE,SURVEYNAME,SIGHTINGDATE,DATEACCURACY,OBSERVER,NUMOBSERVED,MUSEUMHERBMNR,RELIABDESC,AMGZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPRELIABCODE,NSXCODE,SPECIES,FAMILYNAME,COMNAME1,SIGHTINGCOMM,HABITATCOMM,LOCATIONCOMM,RESERVENAME,ISINDIGENOUSFLAG
RVPO2988-9400,RVPO2988-9400,RV,,17/12/97,D,PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha,present but not counted,,1-10km,54,327557,6150639,-34.77185638,139.1155857,P,E01526,Rosa canina,ROSACEAE,Dog Rose,Collected using the DEWNR Roadside Vegetation Survey Methodology,Mixed grassland dominated by alien grass species,Mt Pleasant-Sedan RD 6 km E of Mount Pleasant,,N
SUP17631-69832,SUP17631-69832,SU,SOUTHERN MT LOFTY,14/12/99,D,ARMSTRONG D.M. David | ROUTLEY B.M. Bronwyn,present but not counted,,51-100m,54,288102,6122098,-35.02158,138.67748,Y,C00061,Pteridium esculentum ssp. esculentum,DENNSTAEDTIACEAE,Bracken Fern,,,Approx. 100 m down bitumen road (Cherry Plantation Road) from gate at Eastern Lodge in Belair National Park is a junction with a walking track on the S side. From here go 75 m downslope to W side of the beginning of a shallow gully in Eucalyptus obliqua.,Belair (NP),Y
OPP865878-16,OPP865878-16,OP,EBS ECOLOGY - FLORA & FAUNA SURVEY SA,7/5/09,D,HOW T.L. Travis,present but not counted,,101-250m,53,559798,6716524,-29.6799,135.61802,Y,Y01624,Acacia tetragonophylla,LEGUMINOSAE,Dead Finish,,,,,Y
SUP31732-293692,SUP31732-293692,SU,NANTAWARRINA IPA,1/5/09,D,JAY J. Justin | MCCALLUM B.J. Ben,present but not counted,,5-50m,54,319867,6588098,-30.8266,139.11668,Y,E10898,Sclerolaena sp.,CHENOPODIACEAE,Bindyi,,,80 m from creekline + road intersection on 288 degrees.,,Y
SUP11889-10,SUP11889-10,SU,GRASSY WOODLANDS(MK HYDE),17/3/94,D,NOT ENTERED - SEE ORIGINAL DATA  -,present but not counted,,51-100m,54,484472,5968778,-36.42607,140.82677,Y,E20058,Dianella brevicaulis/revoluta var.,LILIACEAE,Black-anther Flax-lily,,,14km S from Bordertown.,,Y
SUP16775-20997,SUP16775-20997,SU,ANANGU PITJANTJATJARA LANDS,27/10/98,D,CANTY P.D. Peter | LANG P.J. Peter,present but not counted,,51-100m,53,296409,7021822,-26.91056,132.94987,Y,Y03188,Rhodanthe stricta,COMPOSITAE,Slender Everlasting,,,,,Y
RVPO23408-101173,RVPO23408-101173,RV,,24/11/99,D,OBST C.S. Chris | TELFER S. Sarah,present but not counted,,251-500m,54,312706,6162700,-34.66054122,138.9560615,P,K03913,Avena barbata,GRAMINEAE,Bearded Oat,Collected using the DEWNR Roadside Vegetation Survey Methodology,Mixed Grassland dominated by alien grass species,Tower RD 4.6 km SSW of Pewsey Vale,,N
OPP848088-2,OPP848088-2,OP,GAB SPRING VEG MONITORING - WMC/BHPB,7/8/18,D,SOLLY K. Kimberley,35,,0-5m,53,726856,6738351,-29.46378,137.3393,Y,C00493,Cyperus laevigatus,CYPERACEAE,Bore-drain Sedge,,,Gosse Springs Group (Spring Code LGS001) approx 15km NW of Borefield Road/Oodnadatta Track intersection and approx 11km N of Oodnadatta Track. Within Gosse Springs SEB Area,1545 (HA),Y
SUP21033-129629-AD183774,SUP21033-129629-AD183774,SU,MID NORTH AND YORKE PENINSULA,24/10/03,D,NEAGLE N.R. Nick | TURNER J. Jean,present but not counted,AD183774,5-50m,54,312048,6238133,-33.98057,138.96536,Y,W01179,Einadia nutans ssp. nutans,CHENOPODIACEAE,Climbing Saltbush,,,450 m east of gate at Webb Gap saddle is a wire gate on south side of road providing access to a small clearing. An old track leads south from this 150 m along this to site in Eucalyptus odorata mallee.,669 (HA),Y
OPP517737-3,OPP517737-3,OP,PARA WOODLANDS RESTORATION PROJECT,18/1/12,D,MOISE D.M. Dragos,present but not counted,,501-1000m,54,297012,6166323,-34.62491,138.78577,Y,E10950,Austrostipa sp.,GRAMINEAE,Spear-grass,Number Observed = 1.,,Para Woodlands Reserve:Yaringa Block MU 1e,,Y
RVPU12816-7461,RVPU12816-7461,RV,,23/11/98,D,PLAYFAIR R.M. Roger | PARRY K. Karen,present but not counted,,501-1000m,54,239253,6381772,-32.67096707,138.2194893,P,E01154,Atriplex stipitata,CHENOPODIACEAE,Bitter Saltbush,Collected using the DEWNR Roadside Vegetation Survey Methodology,Acacia victoriae Shrubland,John Knights RD 10.3 km WNW of Willowie,,Y
RVPU41064-48806,RVPU41064-48806,RV,,11/3/01,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,101-250m,53,616290,6324001,-33.21665252,136.2478854,P,G00947,Exocarpos syrticola,SANTALACEAE,Coast Cherry,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus oleosa / E. anceps Mallee,Eyre Highway HWY 9.8 km WSW of Solomon,,Y
OPP620103-124,OPP620103-124,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,22/3/13,D,PICKETT M.I. Marcus,present but not counted,,501-1000m,54,291500,6136300,-34.89433,138.71825,Y,E15110,Orchidaceae sp.,ORCHIDACEAE,Orchid Family,,,Morialta (Chapman Track) A15,Morialta (CP),Y
SUP8091-19,SUP8091-19,SU,FLINDERS MANAGEMENT REVIEW,26/8/91,D,NOT ENTERED - SEE ORIGINAL DATA  -,present but not counted,,,54,295923,6591579,-30.79133,138.86718,Y,M01642,Senna artemisioides ssp. X artemisioides,LEGUMINOSAE,Silver Senna,,,4km W from Waukawoodna Gap.,,Y
RVPU77934-115181,RVPU77934-115181,RV,,29/2/04,D,SUTHERLAND R.L. Robyn | TELFER S. Sarah,present but not counted,,1-10km,54,371867,6202176,-34.31376491,139.6074087,P,E10950,Austrostipa sp.,GRAMINEAE,Spear-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Stipa  spp. Grassland,Morgan - Blanchetown RD 4 km SSW of McBean Pound,,Y
SUP16169-19815,SUP16169-19815,SU,ANANGU PITJANTJATJARA LANDS,25/10/97,D,CANTY P.D. Peter | LANG P.J. Peter,present but not counted,,51-100m,53,245125,7115033,-26.06134,132.45242,Y,W00183,Eriachne mucronata,GRAMINEAE,Mountain Wanderrie,,,Rock-wallaby colony.,,Y
RVPO91109-411977,RVPO91109-411977,RV,,10/3/09,D,GRIFFIN C. Clare | EDWARDS J.S. Jeff,present but not counted,,501-1000m,53,765814,6217199,-34.1523166,137.8830982,P,G03267,Asteriscus spinosus,COMPOSITAE,Golden Pallensis,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus odorata +/- E. porosa +/- E. phenax +/- E. socialis Woodland,Gardiners RD 3.7 km SSW of Kainton,,N
SUP2005-4,SUP2005-4,SU,MURRAY MALLEE MANAGEMENT PLAN,12/7/90,D,BARRATT R.R. Rick | NIXON C.L. Craig | WILLIAMS S. Stephanie,present but not counted,,51-100m,54,403257,6175518,-34.55753,139.94549,Y,A04920,Boronia coerulescens ssp. coerulescens,RUTACEAE,Blue Boronia,,,15km N from Galga.,538 (HA),Y
SUP7510-48,SUP7510-48,SU,GAWLER,13/10/85,D,CANTY P.D. Peter,present but not counted,,0-5m,53,533529,6405718,-32.48527,135.35686,Y,M03382,Callitris gracilis,CUPRESSACEAE,Southern Cypress Pine,,,45.5 km NNE from Minnipa.,Gawler Ranges (NP),Y
OPP423558-11,OPP423558-11,OP,MURRAY WETL'D ONGOING SAMDB NRMB,11/1/07,D,STEGGLES T.A. Tracey,present but not counted,,5-50m,54,439414,6220184,-34.15751,140.34272,Y,Z02815,Plantago drummondii,PLANTAGINACEAE,Dark Plantain,,,,,Y
SUP14841-8,SUP14841-8,SU,LOWER FLINDERS RANGES,7/10/96,D,PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha,present but not counted,,5-50m,54,355494,6360865,-32.88084,139.45524,Y,K01721,Medicago minima,LEGUMINOSAE,Little Medic,,,,,N
OPP463161-1,OPP463161-1,OP,AMLR HISTORICAL NRMB WEEDS,21/9/12,D,AMLR OPERATIONS DEWNR DEWNR,present but not counted,,5-50m,54,294147,6143635,-34.82877,138.749,Y,W30123,Asparagus asparagoides f. Western Cape (R.Taplin 1133),LILIACEAE,Bridal Creeper,,,,,N
RVPO57019-242878,RVPO57019-242878,RV,,26/9/02,D,PRYDE C. A. Cathy | ANDERSON R.J. Bob,present but not counted,,1-10km,54,450183,5830284,-37.67328418,140.435091,P,U01426,Hirschfeldia incana,CRUCIFERAE,Hoary Mustard,Collected using the DEWNR Roadside Vegetation Survey Methodology,Anthropogenic Grassland / Herbland,Mount Gambier to Millicent RAIL 3.2 km NNW of Tantanoola,,N
OPP930374-18,OPP930374-18,OP,BDBSA RESERVES DATABASE,1/6/99,M,MURFET D.E. Denzel | TAPLIN R.L. Rosemary,present but not counted,,1-10km,54,289150,6096470,-35.25271,138.68242,Y,G02131,Pimelea linifolia ssp. linifolia,THYMELAEACEAE,Slender Riceflower,,,,Bells Gully (CA),Y
OPP739924-88,OPP739924-88,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,13/10/17,D,PICKETT M.I. Marcus,Present but not counted,,501-1000m,54,293700,6142700,-34.83711,138.74389,Y,M05970,Convolvulus angustissimus ssp.,CONVOLVULACEAE,Narrow-leaf Bindweed,,See other comments,Anstey Hill (Newmans Track) A20 B2 FIMS 121 (1.9 km SW of Houghton),Anstey Hill (RP),Y
RVPO13290-52358,RVPO13290-52358,RV,,30/11/98,D,PLAYFAIR R.M. Roger | PARRY K. Karen,present but not counted,,1-10km,54,242640,6370421,-32.77403906,138.2524321,P,M20166,Salvia verbenaca var.,LABIATAE,Wild Sage,Collected using the DEWNR Roadside Vegetation Survey Methodology,Acacia victoriae Shrubland,Melrose - Orroroo RD 8.3 km ENE of Melrose,,N
RVPO86839-393209,RVPO86839-393209,RV,,8/5/08,D,O'NEILL S. Sally | FRAZER D.S. Deb,present but not counted,,1-10km,54,319157,6293136,-33.48601302,139.0535076,P,E01154,Atriplex stipitata,CHENOPODIACEAE,Bitter Saltbush,Collected using the DEWNR Roadside Vegetation Survey Methodology,Maireana aphylla +/-Atriplex stipitata Shrubland,Dust Hole Creek RD 3.9 km ENE of Sugarloaf Hill (summit),,Y
OPP927220-33,OPP927220-33,OP,PINERY FIRE AREA FLORA AND FAUNA,8/11/17,M,SHACKLEY A. Adrian,present but not counted,,251-500m,54,281813,6191929,-34.39106,138.62665,Y,C05377,Sporobolus virginicus,GRAMINEAE,Salt Couch,Uncultivated bank has good presence of natives grasses herbs shrubs plus weeds (including annual grasses horehound wild mustard). Riverbed good range of mainly native species associated with rocky bed.  Area all burnt in Pinery Fire Nov 2015.,,Parcel ID: D53248 A99 Hd of Grace  Light River  N bank uncultivated steep slope just west of Murphy Road,,Y
SUP6916-17,SUP6916-17,SU,MT LOFTY,2/6/86,D,KING F. Fleur,present but not counted,,No entered,54,314302,6153348,-34.74512,138.97141,Y,A00936,Isopogon ceratophyllus,PROTEACEAE,Horny Cone-bush,,,,Waterholes (CA),Y
RVPO93170-420796,RVPO93170-420796,RV,,8/4/09,D,GRIFFIN C. Clare | EDWARDS J.S. Jeff,present but not counted,,101-250m,53,743115,6210948,-34.21416505,137.6388973,P,K03913,Avena barbata,GRAMINEAE,Bearded Oat,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus incrassata +/- E. brachycalyx +/- E. oleosa +/- E. phenax +/- E. socialis Mallee,Moonta-Maitland RD 3.1 km NNW of Weetulta,,N
RVPO22114-94350,RVPO22114-94350,RV,,17/11/99,D,OBST C.S. Chris | TELFER S. Sarah,present but not counted,,501-1000m,54,319140,6186760,-34.44485184,139.0313499,P,U00210,Bromus catharticus,GRAMINEAE,Prairie Grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Mixed Grassland dominated by alien grass species,Pipeline RD 2.3 km WSW of Stockwell,,N
SUP26681-208379,SUP26681-208379,SU,REVEGETATION MONITORING - AC ROBINSON,25/11/04,D,ROBINSON A.C. Tony,present but not counted,,5-50m,53,671329,6024729,-35.90675,136.89862,Y,C02325,Glischrocaryon behrii,HALORAGACEAE,Golden Pennants,,,,424 (HA),Y
RVPO85645-387889,RVPO85645-387889,RV,,20/8/07,D,FRAZER D.S. Deb | OBST C.S. Chris,present but not counted,,251-500m,54,463230,5850979,-37.4873654,140.5840741,P,Y00736,Moraea setifolia,IRIDACEAE,Thread Iris,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic Grassland,Mules LANE 7.5 km SSE of Wattle Range,,N
OPP785063-2,OPP785063-2,OP,KATARAPKO FLOODPLAIN VEGETATION SURVEY,11/4/17,D,ARMSTRONG D.M. David,1,,5-50m,54,457276,6196871,-34.36864,140.53534,Y,A01276,Alternanthera nodiflora,AMARANTHACEAE,Common Joyweed,,,Katarapko Floodplain,Murray River (NP),Y
RVPU58465-73291,RVPU58465-73291,RV,,27/5/02,D,ANNELLS A. Alison | BATEMAN T.V. Teresa,present but not counted,,501-1000m,54,287354,6185881,-34.44671758,138.6853804,P,E10950,Austrostipa sp.,GRAMINEAE,Spear-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eremophila longifolia Tall Shrubland,Harris RD 2.6 km WSW of Magdala,,Y
RVPO77883-348043,RVPO77883-348043,RV,,29/2/04,D,SUTHERLAND R.L. Robyn | TELFER S. Sarah,present but not counted,,1-10km,54,371887,6202174,-34.31378169,139.6076266,P,M00666,Asphodelus fistulosus,LILIACEAE,Onion Weed,Collected using the DEWNR Roadside Vegetation Survey Methodology,Herbland dominated by both exotic and native species,Morgan - Blanchetown RD 3.9 km SSW of McBean Pound,,N
SUP19590-112504,SUP19590-112504,SU,RIVER MURRAY,22/10/02,D,HALL R.M. Rebecca | KAJAR L.A. Lynne,present but not counted,,5-50m,54,404164,6219354,-34.16235,139.96027,Y,Y01924,Chamaesyce drummondii (NC),EUPHORBIACEAE,Caustic Weed,,,From Waikerie travel approximately 3.3 km heading towards Cadell/Morgan Road Parkes Land on left. Travel a further 200m to sign 'No through Road' on right. At 600 m cross over ford and follow red dirt road a further 700 m do not take right fork along grey clay road. Site approximately 100 m from,,Y
OPP399015-11,OPP399015-11,OP,MOKOTA CP VEGETATION MONITORING,15/11/01,D,HASTWELL G. Graeme | ROBERTSON M.A. Meg,present but not counted,,5-50m,54,310989,6285972,-33.54918,138.96413,Y,E00282,Rostraria cristata,GRAMINEAE,Annual Cat's-tail,Present in 16 subquadrats,,Mokota Conservation Park northeastern section off White Hill Road,Mokota (CP),N
SUP746-26,SUP746-26,SU,NULLARBOR,18/9/84,D,ROBINSON A.C. Tony | JACKSON E.N.S. Eric,present but not counted,,0-5m,52,625179,6514855,-31.49437,130.31804,Y,Y01412,Carrichtera annua,CRUCIFERAE,Ward's Weed,,,43 km SE from Koonalda Stn.,Nullarbor (WA),N
RVPU21987-19696,RVPU21987-19696,RV,,16/11/99,D,PLAYFAIR R.M. Roger | OBST C.S. Chris,present but not counted,,251-500m,54,319857,6176441,-34.53798085,139.0369786,P,W20003,Acacia retinodes var. (NC),LEGUMINOSAE,Silver Wattle,Collected using the DEWNR Roadside Vegetation Survey Methodology,E.viminalis ssp. cygnetensis ? E.leucoxylon Woodland with sclerophyllous understorey,Long Gully RD 3.9 km ESE of Vine Vale,,Y
OPP932597-1,OPP932597-1,OP,PARA WOODLANDS RESTORATION PROJECT,10/1/18,D,EYLANDER G. Ginenne,Present but not counted,,5-50m,54,297059,6166057,-34.62731,138.78622,Y,G02679,Solanum elaeagnifolium,SOLANACEAE,Silver-leaf Nightshade,,,Yaringa Block MU 1e,,N
OPP565384-8,OPP565384-8,OP,WESTERN MURRAY MALLEE LAF FIELDWORK,1/5/15,D,MILNE T.I. Tim | CROFT T.S. Tim | TELFER S. Sarah,present but not counted,,251-500m,54,361498,6191724,-34.40666,139.49306,Y,C01189,Maireana enchylaenoides,CHENOPODIACEAE,Wingless Fissure-plant,,,|Source ProjectID:17|Source WaypointID:8819||Attribute Notes:Mature Myop and some bullock bush sparse but mature woody shrubs wards weed onion weed no saltbush no grass.|,1412 (HA),Y
RVPU68315-89801,RVPU68315-89801,RV,,23/9/03,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,251-500m,54,288151,6124475,-35.00018076,138.6786278,P,Y10088,Arthropodium sp.,LILIACEAE,Vanilla-lily,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus viminalis ssp. viminalis Woodland,Charlick Hill Road RD 0.6 km WSW of Crafers West (suburb centre),,Y
OPP295815-1783539,OPP295815-1783539,OP,THREATENED ORCHID MONITORING (SE),16/1/01,D,PRITCHARD A. Andrew | NOT ENTERED - N/A IN ORIGINAL DATA,present but not counted,,5-50m,54,406465,5893904,-37.0965,139.94745,Y,M00850,Pterostylis tenuissima,ORCHIDACEAE,Swamp Greenhood,Total Number of Plants - 25Number of Flowering Plants - Number of Plants in BudNumber of Sterile (Leaf Only) Plants - 25,,West Dairy Range - PP-2- SAGPS ref 332,,Y
OPP284128-1808503,OPP284128-1808503,OP,LOFTY BLOCK EPBC THREATENED ORCHIDS,12/9/08,D,NOSSA  Native Orchid Society of Sou | HIGGINS G.M. Mick,present but not counted,,5-50m,54,229761,6368320,-32.78987,138.11447,Y,W05163,Caladenia woolcockiorum,ORCHIDACEAE,Woolcock's Spider-orchid,General Comment= PLANTSNUMB= 2; BUFFER= 0.5m;,,Mambray Creek Track Mt Remarkable NP,Mount Remarkable (NP),Y
SUP17408-59706,SUP17408-59706,SU,FLINDERS RANGES,22/11/99,D,TELFER W.R. Wendy | OATS C. Christine,present but not counted,,101-250m,54,225462,6376019,-32.71945,138.07089,Y,Y00680,Lomandra densiflora,LILIACEAE,Soft Tussock Mat-rush,,,Also fire monitoring site N8/1 and 1982 pitline 11.,Mount Remarkable (NP),Y
RVPO13776-55242,RVPO13776-55242,RV,,10/12/98,D,O'CONNOR P.J. Patrick | MIBUS R. RAELENE,present but not counted,,501-1000m,54,367955,6136893,-34.90180882,139.554731,P,Z01935,Euphorbia terracina,EUPHORBIACEAE,False Caper,Collected using the DEWNR Roadside Vegetation Survey Methodology,Herbland dominated by exotic species,Mannum to Bow Hill RD 0.9 km SSW of Teal Flat,,N
OPP874420-2,OPP874420-2,OP,MISC. OPPORTUNE RECORDS,23/2/15,D,MCCALLUM K.P. Kimberly,82,,5-50m,53,780706,6422557,-32.29865,137.98096,Y,E01606,Acacia quornensis,LEGUMINOSAE,Quorn Wattle,,,,The Dutchmans Stern (CP),Y
SUP15935-19,SUP15935-19,SU,COASTAL DUNE & CLIFFTOP,21/10/97,D,SANDERCOCK R.K. Ron | HAGAN V.C. Vicki,present but not counted,,5-50m,54,247722,6066686,-35.51138,138.2183,Y,M00226,Catapodium rigidum,GRAMINEAE,Rigid Fescue,,,Site on steeply sloping cliff face 120m from carpark and 5m down from common track above change in scarp.,,N
RVPO3658-13886,RVPO3658-13886,RV,,25/11/97,D,CLARK P. Pat | CLARK P.R. Peter | STOKES A.L. Adrian,present but not counted,,101-250m,54,292557,6142052,-34.84271269,138.7312292,P,C15065,Gramineae sp.,GRAMINEAE,Grass Family,Collected using the DEWNR Roadside Vegetation Survey Methodology,Grassland dominated by exotic species,Lower North East RD 0.3 km WSW of Anstey Hill (summit),,Y
SUP8200-20,SUP8200-20,SU,SOUTH OLARY PLAINS,24/7/91,D,PEACOCK D.E. David | SYMON D.E. David,present but not counted,,5-50m,54,402922,6346778,-33.01313,139.96067,Y,M15166,Moss sp.,Major Group only -Mosses,,,,1.6 km NW from Staker Dam.,,Y
SUP14555-30,SUP14555-30,SU,COASTAL DUNE & CLIFFTOP,2/9/96,D,FURNER R.T. Bob | VOM BERG F.L. Fiona,present but not counted,,51-100m,53,658524,6010059,-36.04111,136.75971,Y,Z02011,Dodonaea humilis,SAPINDACEAE,Dwarf Hop-bush,,,See map.,Flinders Chase (NP),Y
RVPU10212-4130,RVPU10212-4130,RV,,16/11/98,D,CLARK P.D. Peter | BEVAN K. Kirsty,present but not counted,,251-500m,53,582826,6198599,-34.3506219,135.9005942,P,C01605,Acacia pycnantha,LEGUMINOSAE,Golden Wattle,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus petiolaris Low woodland,Mount Hope - Tumby Bay RD 2 km ESE of Yallunda Flat,,Y
OPP673291-1,OPP673291-1,OP,YORKE DISTRICT AERIAL BOXTHORN CONTROL,7/5/15,D,BARR M. Max | ANDERSON T. Tim,1,,5-50m,53,712526,6107026,-35.15725,137.33326,Y,M02662,Lycium ferocissimum,SOLANACEAE,African Boxthorn,,,Point Davenport; Boxthorn control site - aerial application of Graslan herbicide,Point Davenport (CP),N
OPP630285-13,OPP630285-13,OP,IMPACT OF FIRE ON ORCHID POLLINATION-MLR,30/11/13,M,FAAST R. Renate,present but not counted,,5-50m,54,303016,6160647,-34.67723,138.8499,Y,Z02207,Calytrix tetragona,MYRTACEAE,Common Fringe-myrtle,Note: 2 forms: Bright green and pubescent dull green,,South Para Reservoir,,Y
OPP514855-20,OPP514855-20,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,22/10/09,D,WHITE T. Tanya | SEAMARK B. Ben,present but not counted,,251-500m,54,286334,6122192,-35.02037,138.65814,Y,C02405,Themeda triandra,GRAMINEAE,Kangaroo Grass,,,Belair S10 Prescribed Burn - Incident Number 201011005,Belair (NP),Y
OPP939225-6,OPP939225-6,OP,SCIENTIFIC PERMIT DATA - APPROVED,22/9/18,D,NORVAL G. Gerrut,present but not counted,,5-50m,54,347049,6249454,-33.88419,139.34608,Y,W02103,Sida intricata,MALVACEAE,Twiggy Sida,,,Roadside of Bundey Church Rd. Mid North,,Y
SUP21230-138315,SUP21230-138315,SU,MURRAY WETL'D BASELINE RMCWMB 2004,17/11/03,D,PRIDER J.N. Jane | ENDERSBY D.S. David,present but not counted,,5-50m,54,478107,6215780,-34.19876,140.76237,Y,W01179,Einadia nutans ssp. nutans,CHENOPODIACEAE,Climbing Saltbush,,,Turn off the Sturt Highway onto the Old Sturt Highway west of the Paringa Bridge. Proceed west along the Old Sturt Highway for 1.5 km then turn left into track. Follow track around lagoons towards the river for 3.8 km. The quadrat is located in lignum shrubland approx. 100 m from the track adjacent,,Y
OPP722286-1,OPP722286-1,OP,KANGAROO ISLAND FLORA - KI,9/12/16,D,HABY M. Michelle,1,,0-5m,53,723536,6041240,-35.74749,137.47212,Y,C02617,Prostanthera chlorantha,LABIATAE,Green Mintbush,,,Bomb Alley,,Y
SUP15844-6,SUP15844-6,SU,COASTAL DUNE & CLIFFTOP,26/9/97,D,TAYLOR R.S. Ron | MADDERN D.P. Don,present but not counted,,51-100m,53,591898,6149459,-34.79294,136.00454,Y,M02398,Trachymene pilosa,UMBELLIFERAE,Dwarf Trachymene,,,From southern end of beach head 50m to north along beach and follow alignment of rocky areas westerly approx 100m to get to site. Cross walking trail (behind NW trail) another 30m to west for site.,Lincoln (NP),Y
RVPE79911-1,RVPE79911-1,RV,,27/7/04,D,POUND L.M. Leanne | OBST C.S. Chris,present but not counted,,1-10km,54,406728,6161899,-34.68065313,139.9818227,P,Q02216,Eucalyptus brachycalyx,MYRTACEAE,Gilja,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic Grassland,Waikerie RD 2.5 km ENE of Galga,,Y
SUP15278-19-AD99830102,SUP15278-19-AD99830102,SU,UPPER MID NORTH,23/10/96,D,GRAHAM K.L. Kate | BARNES M.K. Merrilyn,present but not counted,AD99830102,5-50m,54,292998,6400426,-32.5142,138.79631,Y,A05288,Roepera angustifolia,ZYGOPHYLLACEAE,Scrambling Twinleaf,,,Take the Orroroo - Minburra road and drive approx 27km until you reach an intersection of 3 vehicle tracks. Continue for approx 1km and the site is located on the western side of the road - look for a large Euc. longifolia.,,Y
RVPU42643-53030,RVPU42643-53030,RV,,19/7/01,D,CLARK P.D. Peter,present but not counted,,5-50m,54,297252,6122117,-35.0232879,138.7777026,P,E10950,Austrostipa sp.,GRAMINEAE,Spear-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus obliqua Woodland,Goss (813) RD 1.2 km SSE of Bridgewater (suburb centre),,Y
OPP742607-206,OPP742607-206,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,1/2/18,D,PICKETT M.I. Marcus,Present but not counted,,501-1000m,54,293300,6144050,-34.82486,138.73985,Y,S00165,Rytidosperma caespitosum (NC),GRAMINEAE,Common Wallaby-grass,cover/abundance = 1?,See other comments,Anstey Hill (NE Road) S20 B3 FIMS 122 (2 km W of Houghton),Anstey Hill (RP),Y
RVPO41744-180305,RVPO41744-180305,RV,,11/5/01,D,CLARK P.D. Peter | CLARK M.G. Moira,present but not counted,,501-1000m,54,312975,6133676,-34.92215892,138.9525316,P,G02271,Eucalyptus viminalis ssp. viminalis,MYRTACEAE,Manna Gum,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus viminalis ssp. Open Forest,Sandy Water Hole URR 0.8 km ESE of Mount Charles East (summit),,Y
OPP799256-49,OPP799256-49,OP,BDBSA RESERVES DATABASE,27/9/90,D,KRAEHENBUEHL D.N. Darrell | LANG P.J. Peter,present but not counted,,501-1000m,54,273074,6310225,-33.32324,138.56216,Y,U05518,Wurmbea dioica ssp. dioica (NC),LILIACEAE,Early Nancy,,**Birds** No information on file**Environmental Association** 1% (Appila = 3.3.16) * 4% (Clare = 3.3.13)**Hundred** 2% (Yangya),YANGYA : 144,742 (HA),Y
RVPO39294-169837,RVPO39294-169837,RV,,22/11/00,D,TELFER W.R. Wendy,present but not counted,,101-250m,54,261263,6311949,-33.30514982,138.4358414,P,K03913,Avena barbata,GRAMINEAE,Bearded Oat,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic Grassland and Herbland,Caltowie-Georgetown RD 4.3 km WSW of West Bundaleer,,N
SUP1255-7,SUP1255-7,SU,MORIALTA CONS PARK (NPWS 1981),1/12/77,D,NOT ENTERED - SEE ORIGINAL DATA  -,present but not counted,,51-100m,54,290807,6135683,-34.89974,138.71052,Y,Q01688,Hardenbergia violacea,LEGUMINOSAE,Native Lilac,,,,Morialta (CP),Y
OPP934148-6,OPP934148-6,OP,SCIENTIFIC PERMIT DATA - APPROVED,21/6/19,D,BARRATT R.R. Rick | SINCLAIR KNIGHT MERZ SKM SKM Ecolog,present but not counted,,51-100m,53,680679,6626361,-30.48143,136.88232,Y,Q00412,Paractaenum novae-hollandiae ssp. reversum,GRAMINEAE,Barbed-wire Grass,,,Olympic Dam Airport,,Y
SUP14573-10,SUP14573-10,SU,COASTAL DUNE & CLIFFTOP,6/9/96,D,FURNER R.T. Bob | VOM BERG F.L. Fiona,present but not counted,,5-50m,53,647188,6019894,-35.95426,136.6321,Y,C03205,Ixodia achillaeoides ssp. alata,COMPOSITAE,Hills Daisy,,,From Sandy Creek carpark walk along track along creek to within 50m of creek outfall then head east up dune for 100m (bottom of dune is rocky).,Flinders Chase (NP),Y
RVPU18516-17157,RVPU18516-17157,RV,,24/8/99,D,COOLING M.P. Marcus | HOGBEN J.D. Jeremy,present but not counted,,251-500m,54,358156,6147854,-34.80168306,139.4493666,P,Q00976,Duma florulenta,POLYGONACEAE,Lignum,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus largiflorens Woodland with shrubby understorey,McGormans RD 5.9 km NNE of Rocky Point,,Y
OPP725592-22,OPP725592-22,OP,PADDOCK TREES PROJECT - TREES FOR LIFE,29/11/16,D,NEW B.D. Bill,present but not counted,,251-500m,54,317553,6132840,-34.93052,139.00244,Y,K00225,Briza minor,GRAMINEAE,Lesser Quaking-grass,,,,,N
