"","dwc:catalogNumber","FLORACODE","dwc:samplingProtocol","SURVEYNAME","dwc:eventDate","DATEACCURACY","Date Accuracy Range","dwc:identifiedBy","dwc:individualCount","MUSEUMHERBMNR","RELIABDESC","AMGZONE","EASTING","NORTHING","dwc:decimalLatitude","dwc:decimalLongitude"," dwc:identificationVerificationStatus","dwc:scientificName","dwc:family","dwc:vernacularName","dwc:fieldNotes","dwc:Habitat","dwc:georeferenceRemarks","dwc:SamplingLocationRemarks","ISINDIGENOUSFLAG"
"259","OPP546887-5","OPP546887-5","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2014-02-28,"D","Day","UNKNOWN  N/A","present but not counted","","251-500m",54,292686,6139886,-34.86226,138.73211,"verified","Bursaria spinosa ssp.","PITTOSPORACEAE","Bursaria","","","Mgmt Unit 3/4. south of Gorge Rd","Black Hill (CP)","Y"
"260","SUP4005-26","SUP4005-26","SU","MURRAY MALLEE",1990-07-20,"D","Day","KINNEAR A.J. (Sandy) | NOYCE T. Tim","present but not counted","","5-50m",54,360343,6088737,-35.33487,139.46331,"verified","Melaleuca acuminata ssp. acuminata","MYRTACEAE","Mallee Honey-myrtle","","","8 km E from Wellington.","","Y"
"261","RVPO18314-73946","RVPO18314-73946","RV","",1999-08-21,"D","Day","COOLING M.P. Marcus | HOGBEN J.D. Jeremy","present but not counted","","101-250m",54,347273,6167599,-34.62211912,139.3340196,"verification required","Romulea rosea var. australis","IRIDACEAE","Common Onion-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland dominated by exotic species"," Sleeper Track RD 6 km ENE of Cambrai","","N"
"262","RVPO37182-162639","RVPO37182-162639","RV","",2000-11-09,"D","Day","TELFER W.R. Wendy","present but not counted","","251-500m",54,280722,6335487,-33.09715237,138.6503563,"verification required","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic and native Grassland ( Stipa sp.  Danthonia sp.)","Belalie North RD 4.4 km WNW of Belalie North","","N"
"263","RVPO79125-354226","RVPO79125-354226","RV","",2004-07-13,"D","Day","POUND L.M. Leanne | OBST C.S. Chris","present but not counted","","1-10km",54,408119,6141026,-34.86897487,139.9947223,"verification required","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Goondooloo RD 14.6 km WNW of Sandalwood","","N"
"264","RVPO24198-105301","RVPO24198-105301","RV","",1999-11-24,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","501-1000m",53,433040,6374654,-32.76395706,134.2851138,"verification required","Gramineae sp.","GRAMINEAE","Grass Family","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Flinders HWY 5 km ENE of One Tree Hill (summit)","","Y"
"265","OPP560049-16","OPP560049-16","OP","LOWAN MALLEE LAF FIELDWORK",2014-10-29,"D","Day","CROFT S.J. Sonia","present but not counted","","251-500m",54,454451,6012817,-36.0281,140.49444,"verified","Austrostipa sp.","GRAMINEAE","Spear-grass","Vouchered 78.","","|Source ProjectID:20|Source WaypointID:3651|","213 (HA)","Y"
"266","OPP800479-54","OPP800479-54","OP","BDBSA RESERVES DATABASE",1993-10-19,"D","Day","BYARD E.J. Liz | CROFT S.J. Sonia","present but not counted","",">25km",53,392486,6491136,-31.71011,133.86534,"verified","Pittosporum angustifolium","PITTOSPORACEAE","Native Apricot","","","","Yumbarra (CP)","Y"
"267","RVPO17288-70522","RVPO17288-70522","RV","",1999-08-03,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","1-10km",53,564863,6184710,-34.47714909,135.7063405,"verification required","Asparagus asparagoides (NC)","LILIACEAE","Bridal Creeper","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus odorata Mallee","Warunda (East) RD 4 km NNW of Strawberry Hill (summit)","","N"
"268","OPP562083-3","OPP562083-3","OP","SCIENTIFIC PERMIT DATA - APPROVED",2013-11-12,"D","Day","NICOL J. Jason","present but not counted","","5-50m",54,343156,6071539,-35.48732,139.27097,"verified","Paspalum distichum","GRAMINEAE","Water Couch","","","","","N"
"269","OPP798269-47","OPP798269-47","OP","BDBSA RESERVES DATABASE",1986-11-26,"D","Day","KINNEAR A.J. (Sandy)","present but not counted","","1-10km",53,500051,6350414,-32.98466,135.00055,"verified","Lasiopetalum baueri","STERCULIACEAE","Slender Velvet-bush","","**Birds** Suitable for Blue-breasted Fairywren Grey CurrawongMalleefowl Purple-gaped H-E Shy Hylacola Southern Scrub Robin Western Yellow Robin Yellow-rumped Pardalote**Environmental Association** 28% Koongawa (4.3.19)**Hundred** 26% (Travers)","TRAVERS : 35 37 39 40 48-50","187 (HA)","Y"
"270","SUP15914-18","SUP15914-18","SU","COASTAL DUNE & CLIFFTOP",1997-09-18,"D","Day","KENNY S.D. Sue | OPPERMANN A.M. Alison","present but not counted","","5-50m",53,676258,6121890,-35.0303,136.93215,"verified","Arctotheca calendula","COMPOSITAE","Cape Weed","","","Road to Daly Head. At Daly Head Point walk south east along cliff edge. Site approx 100m from corner of headland.","","N"
"271","OPP518639-1-PENDING","OPP518639-1-PENDING","OP","SCIENTIFIC PERMIT DATA - APPROVED",2006-10-15,"D","Day","CONRAN J.G. John | PEDERSEN M. M. | ENGLAND W. W. | DOWNING A.W. Andrew","present but not counted","PENDING","No entered",52,749534,6641903,-30.329,131.59541,"verified","Alyogyne pinoniana var. (NC)","MALVACEAE","","Habitat comment = roadside on red sand dune Mallee woodland with pollinating bombyliid flies numerous. Voucher specimen in ADU PERTH","","","","N"
"272","OPP52174-1484387","OPP52174-1484387","OP","SOUTH-EAST WOODS AND FORESTS",1985-01-31,"D","Day","DICKSON C. Cathy | DORSCH S. Stefan | FOSTER E. Elise","present but not counted","","5-50m",54,487897,5888553,-37.14933,140.86371,"verified","Hibbertia sericea var. (NC)","DILLENIACEAE","Silky Guinea-flower","","Eucalyptus baxteri Open Woodland","Site M4502 in the 1985 Community Employment Program survey in South East Forestry S.A. reserves. Deadman's Swamp NFR. Reserve code SF21(-).","Deadmans Swamp (NF)","Y"
"273","SUP400035-1","SUP400035-1","SU","WABMA KARDARBU MOUND SPRINGS",2004-05-15,"D","Day","JAY J. Justin | LANG P.J. Peter","present but not counted","","0-0.001m",53,686294,6736229,-29.48962,136.92161,"verified","Cyperus laevigatus","CYPERACEAE","Bore-drain Sedge","","","Spring location and reference benchmark determined with real-time kinematic differential GPS (accuracy generally better than +/-20mm). Springs not permanently marked. This site is tied to a benchmark permanently labelled with an Aluminium tag numbered 160 which is attached to Bedrock with masonry na","Wabma Kadarbu Mound Springs (CP)","Y"
"274","RVPO92955-419849","RVPO92955-419849","RV","",2009-04-07,"D","Day","GRIFFIN C. Clare | EDWARDS J.S. Jeff","present but not counted","","501-1000m",53,760296,6203588,-34.27630409,137.8274162,"verification required","Eucalyptus calycogona ssp.","MYRTACEAE","Square-fruit Mallee","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus calycogona ssp. calycogona +/- E. brachycalyx +/- E. gracilis +/- E. incrassata +/- E. oleosa +/- E. phenax +/- E. socialis Mallee","Unknown RD 4.2 km WNW of Winulta","","Y"
"275","OPP629105-44","OPP629105-44","OP","NORTHERN AMLR GRASSY ECOSYSTEM ASSESSMEN",2015-10-08,"D","Day","CROFT S.J. Sonia","present but not counted","","101-250m",54,325150,6193360,-34.3864,139.09809,"verified","Briza maxima","GRAMINEAE","Large Quaking-grass","Frequency = Rare; Distribution = Localised","","Section 332 of H160100 Hd Belvidere. Location is approximate centre of land unit polygon which is 5 ha. This comprises a south-west facing rocky slope.","","N"
"276","SUP10461-13","SUP10461-13","SU","FLINDERS MANAGEMENT REVIEW",1988-05-09,"D","Day","GREENWOOD G. Graeme | PITTS B. Brenda","present but not counted","","",54,338373,6628478,-30.46504,139.31641,"verified","Sclerolaena obliquicuspis","CHENOPODIACEAE","Oblique-spined Bindyi","","","","","Y"
"277","RVPO56198-239417","RVPO56198-239417","RV","",2002-03-27,"D","Day","STOREY J.D. James | BATEMAN T.V. Teresa","present but not counted","","1-10km",54,308022,6185541,-34.45383032,138.9101276,"verification required","Foeniculum vulgare","UMBELLIFERAE","Fennel","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic grassland","Nain RD 0.7 km ESE of Nain","","N"
"278","OPP800904-114","OPP800904-114","OP","BDBSA RESERVES DATABASE",1991-10-30,"D","Day","LANG P.J. Peter | CROFT T.S. Tim","present but not counted","","1-10km",53,707672,6043546,-35.73019,137.29621,"verified","Oxalis perennans (NC)","OXALIDACEAE","Native Sorrel","","","Approximately 7 km NNE of Parndana. Area dissected by the Cygnet River Valley.","1048 (HA)","Y"
"279","RVPU77435-113325","RVPU77435-113325","RV","",2004-02-07,"D","Day","SUTHERLAND R.L. Robyn | TELFER S. Sarah","present but not counted","","251-500m",54,477483,6015930,-36.00083457,140.7501612,"verification required","Ehrharta calycina","GRAMINEAE","Perennial Veldt Grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland dominated by exotic species","Pinnaroo - Bordertown RD 8.8 km ESE of McCallum","","N"
"280","OPP459710-1","OPP459710-1","OP","AMLR HISTORICAL NRMB WEEDS",2004-01-01,"T","Decade","AMLR OPERATIONS DEWNR DEWNR","present but not counted","","No entered",54,301292,6163457,-34.65157,138.83175,"verified","Chrysanthemoides monilifera ssp. monilifera","COMPOSITAE","Boneseed","","","","","N"
"281","OPP679404-1","OPP679404-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL",2015-04-07,"D","Day","SWALES J. Jasmine | ANDERSON T. Tim","1","","5-50m",53,716297,6180544,-34.49405,137.35569,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Wardang Island; Boxthorn control site - aerial application of Graslan herbicide","","N"
"282","OPP430864-2","OPP430864-2","OP","KI DUNNART SURVEY & RESEARCH PROJECT",2001-01-18,"D","Day","GATES J.A. Jody","Present but not counted","","5-50m",53,666762,6031144,-35.84973,136.84669,"verified","Dillwynia sericea","LEGUMINOSAE","Showy Parrot-pea","","","West End Highway.","Ravine des Casoars (WA)","Y"
"283","SUP23338-178400-AD184995","SUP23338-178400-AD184995","SU","MID NORTH AND YORKE PENINSULA",2004-10-18,"D","Day","TURNER J. Jean | PAVY B.S. Benjamin","present but not counted","AD184995","5-50m",53,687434,6107389,-35.15897,137.05787,"verified","Apium annuum","UMBELLIFERAE","Annual Celery","","","Enter property on track by a stobie pole 300 metres south-west along main Warooka - Marion Bay Road from track to Survey 162 - site HIL02201. Follow track west to a gate at 400 metres. Continue for a further 800 metres to a slight bend in track. Site is 100 metres north of bend on north side of a de","635 (HA)","Y"
"284","OPP558696-7","OPP558696-7","OP","LOWAN MALLEE LAF FIELDWORK",2014-10-02,"D","Day","MCCALLUM M. Melissa | MCCALLUM B.J. Ben","present but not counted","","251-500m",54,432277,6132183,-34.95061,140.2583,"verified","Amphipogon caricinus var. caricinus","GRAMINEAE","Long Grey-beard Grass","Recorded as Amphipogon caricinus.","","|Source ProjectID:20|Source WaypointID:3518|","910 (HA)","Y"
"285","OPP669663-1","OPP669663-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL",2015-04-09,"D","Day","BROWN R.M. Bec (Rebecca) | ANDERSON T. Tim","1","","5-50m",53,685372,6100923,-35.21762,137.0367,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Marion Bay; Boxthorn control site - aerial application of Graslan herbicide","","N"
"286","RVPO44615-192826","RVPO44615-192826","RV","",2001-09-27,"D","Day","DUNBAR K.R. Kelly | COOLING M.P. Marcus","present but not counted","","1-10km",54,488316,5971485,-36.40172295,140.8696968,"verification required","Gramineae sp.","GRAMINEAE","Grass Family","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland dominated by alien species +/- emergent native shrubs +/- emergent Eucalyptus spp.","Pooginagooric RD 4.9 km NNE of Pooginagoric","","Y"
"287","RVPE17101-2","RVPE17101-2","RV","",1999-08-01,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","1-10km",53,560202,6193047,-34.40225377,135.6550036,"verification required","Eucalyptus brachycalyx","MYRTACEAE","Gilja","Collected using the DEWNR Roadside Vegetation Survey Methodology","Melaleuca halmaturorum ssp. halmaturorum Shrubland","Gap RD 4.8 km WNW of Edillilie","","Y"
"288","SUP10061-16","SUP10061-16","SU","FLINDERS MANAGEMENT REVIEW",1987-08-16,"D","Day","GREENWOOD G. Graeme | PITTS B. Brenda","present but not counted","","No entered",54,299122,6563729,-31.043,138.8951,"verified","Salsola australis","CHENOPODIACEAE","Buckbush","","","","","Y"
"289","SUP15296-18","SUP15296-18","SU","UPPER MID NORTH",1996-10-25,"D","Day","GOULD P. Paul | BROOK A.L. Amanda","present but not counted","","5-50m",54,287808,6426682,-32.27655,138.74698,"verified","Vulpia muralis","GRAMINEAE","Wall Fescue","","","Drive approx 1.9km from gate along track. Just before rise on northern side of road stop and walk approx 500m north into patch of black oaks. Site is approx 100m behind stock yards.","","N"
"290","SUP8921-68","SUP8921-68","SU","SOUTH EAST",1991-09-10,"D","Day","ROBINSON A.C. Tony | PRESCOTT A.M. Ann","present but not counted","","5-50m",54,481139,5921517,-36.85207,140.78843,"verified","Geranium sp.","GERANIACEAE","Geranium","","","","","Y"
"291","OPP798883-58","OPP798883-58","OP","BDBSA RESERVES DATABASE",1978-02-01,"M","Month","COLLINS S. Sally | DENDY T. Tim","present but not counted","","1-10km",53,624753,6364473,-32.85073,136.33317,"verified","Pittosporum angustifolium","PITTOSPORACEAE","Native Apricot","","**Birds** Suitable for large number of bird species inc Malleefowl**Fauna** Suitable for Small Bearded Dragon Jewelled Gecko Gunthers Skink**Environmental Association** = 10% (Kimba = 4.3.16)**Hundred** = 36% (Cunyarie)","CUNYARIE : 21 22 23 32 33","8 (HA)","Y"
"292","RVPO78361-350533","RVPO78361-350533","RV","",2004-05-13,"D","Day","POUND L.M. Leanne | OBST C.S. Chris","present but not counted","","1-10km",53,634441,6331284,-33.14887138,136.441529,"verification required","Eucalyptus brachycalyx","MYRTACEAE","Gilja","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus brachycalyx +/- E. dumosa +/- E. gracilis Mallee","Kimba - Lincoln Hwy (Whyalla Rd) RD 2.3 km ESE of Kimba","","Y"
"293","SUP4034-5","SUP4034-5","SU","STRZELECKI",1990-09-21,"D","Day","WISEMAN A. Anne","present but not counted","","5-50m",54,359893,6759878,-29.28227,139.55767,"verified","Malvastrum americanum var. americanum","MALVACEAE","Malvastrum","","","20 km NE from Meteor Bore.","","?"
"294","SUP10526-25","SUP10526-25","SU","FLINDERS MANAGEMENT REVIEW",1988-06-07,"D","Day","GREENWOOD G. Graeme | PITTS B. Brenda","present but not counted","","",54,337223,6641778,-30.34492,139.30651,"verified","Bromus rubens","GRAMINEAE","Red Brome","","","","Vulkathunha-Gammon Ranges (NP)","N"
"295","OPP555992-3","OPP555992-3","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2005-03-17,"D","Day","PICKETT M.I. Marcus","present but not counted","","251-500m",54,292900,6137000,-34.8883,138.73373,"verified","Acaena echinata","ROSACEAE","Sheep's Burr","","","Eagle Loop PB","Black Hill (CP)","Y"
"296","RVPO71761-316656","RVPO71761-316656","RV","",2003-10-02,"D","Day","BIRCHMORE N.J. Neal","present but not counted","","251-500m",54,270719,6184351,-34.4569378,138.5040379,"verification required","Rapistrum rugosum ssp. rugosum","CRUCIFERAE","Turnip Weed","Collected using the DEWNR Roadside Vegetation Survey Methodology","Senna artemesioides ssp. filifolia +/- Acacia spp.+/- Geijera linearifolia.+/- Pittosporum phylliraeoides +/- Senna artemesioides nothosp. or ssp. Shr","Old Dublin RD 2.2 km SSW of Mallala","","N"
"297","SUP7884-34","SUP7884-34","SU","FLINDERS MANAGEMENT REVIEW",1990-08-29,"D","Day","MALCOLM L.A. Louise | PLAYFAIR R.M. Roger","present but not counted","","",54,271523,6618579,-30.54345,138.61833,"verified","Austrostipa sp.","GRAMINEAE","Spear-grass","","","5km SW from Depot Springs.","","Y"
"298","RVPU93879-158467","RVPU93879-158467","RV","",2009-11-24,"D","Day","REES E.L.R. Erica","present but not counted","","501-1000m",54,268612,6467107,-31.9083787,138.553057,"verification required","Austrodanthonia sp. (NC)","GRAMINEAE","","Collected using the DEWNR Roadside Vegetation Survey Methodology","Herbland dominated by exotic species +/- native species.","Willow Waters RD 4.3 km ESE of Windee Hill (summit)","","Y"
"299","SUP30005-265302","SUP30005-265302","SU","YALATA BIOLOGICAL SURVEY (AW NRM)",2007-10-29,"D","Day","KENNY S.D. Sue | BEVAN K. Kirsty","present but not counted","","0-5m",52,756119,6533807,-31.30195,131.69089,"verified","Roepera aurantiaca","ZYGOPHYLLACEAE","Shrubby Twinleaf","","","From Eyre Highway parking bay at 52/ 748505/ 6522054 travel north past a track to the right at about 2.7km (stick left) to a windmill and old well (about 3.7km) at 52/ 747878/ 6525654. From windmill take track on right for 1.5km to junction at 52/ 749287/ 6526329. Take left track to another junction","","N"
"300","RVPE46946-2","RVPE46946-2","RV","",2001-11-14,"D","Day","CLARK P.D. Peter","present but not counted","","101-250m",54,280623,6260452,-33.77335098,138.630987,"verification required","Olea europaea ssp.","OLEACEAE","Olive","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed Native sp. / Exotic sp. Grassland","Blockers (86) RD 3.9 km ENE of Stanley Flat","","N"
"301","SUP1630-18","SUP1630-18","SU","WESTERN MURRAY FLATS",1992-04-30,"D","Day","CHANNON B.H. Bronwyn | KINNEAR A.J. (Sandy)","present but not counted","","5-50m",54,319402,6159835,-34.68757,139.02848,"verified","Austrostipa sp.","GRAMINEAE","Spear-grass","","","","","Y"
"302","RVPO247-647","RVPO247-647","RV","",1997-05-08,"D","Day","CARRUTHERS S.M. Sandy | STOKES A.L. Adrian","present but not counted","","501-1000m",54,469898,5975543,-36.36473854,140.6644572,"verification required","Phalaris sp.","GRAMINEAE","Canary Grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Allocasuarina luehmannii +/- Eucalyptus microcarpa +/- E. leucoxylon woodland with grassy and/or shrubby understorey","  2.6 km WSW of Mundulla","","N"
"303","RVPE78001-1","RVPE78001-1","RV","",2004-02-29,"D","Day","SUTHERLAND R.L. Robyn | TELFER S. Sarah","present but not counted","","51-100m",54,386084,6232747,-34.03977433,139.7659042,"verification required","Not naturalised in SA sp.","FAMILY NOT ASSIGNED -ANGIOSPERM","","Collected using the DEWNR Roadside Vegetation Survey Methodology","Atriplex stipitata +/- Maireana spp. Low Shrubland","Cadell - Waikerie RD 0.4 km ESE of Cadell","","N"
"304","OPP957956-5","OPP957956-5","OP","F4F ECOLOGICAL MONITORING PROGRAM",2016-12-12,"D","Day","NICOL J. Jason","1","","5-50m",54,297229,6093810,-35.27834,138.77051,"verified","Cyperus gymnocaulos","CYPERACEAE","Spiny Flat-sedge","","","Bull creek trib Henry Martin rd","","Y"
"305","SUP1614-14","SUP1614-14","SU","WESTERN MURRAY FLATS",1992-04-30,"D","Day","HILL S.S. N/A | ADAMS G.R. Graham","present but not counted","","5-50m",54,368207,6163770,-34.65955,139.56171,"verified","Maireana erioclada","CHENOPODIACEAE","Rosy Bluebush","","","","Ridley (CP)","Y"
"306","OPP821379-1","OPP821379-1","OP","PIKE AND KATARAPKO TREE CONDITION",2018-03-21,"D","Day","WALSH R. Richard | FULTON C. Christopher","1","","5-50m",54,458927,6200451,-34.33642,140.55347,"verified","Eucalyptus largiflorens","MYRTACEAE","River Box","","","Site recorded as: K17. Also referenced as Transect 40.","Murray River (NP)","Y"
"307","RVPO71401-315033","RVPO71401-315033","RV","",2003-09-25,"D","Day","BIRCHMORE N.J. Neal","present but not counted","","101-250m",54,276382,6173118,-34.55939037,138.5626969,"verification required","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Acacia ligulata +/- Acacia spp. +/- Senna artemesioides nothossp. or ssp. +/- Eremophila longiofolia Shrubland","Kenner RD 5 km WSW of Reeves Plains","","N"
"308","RVPU49739-61116","RVPU49739-61116","RV","",2001-12-14,"D","Day","DUNBAR K.R. Kelly | COOLING M.P. Marcus","present but not counted","","501-1000m",54,293410,6068071,-35.50946518,138.722026,"verification required","Gramineae sp.","GRAMINEAE","Grass Family","Collected using the DEWNR Roadside Vegetation Survey Methodology","Planted local indigenous or non-indigenous native species","Victor Harbor to Goolwa RD 1.3 km ESE of Middleton","","Y"
"309","SUP15800-45","SUP15800-45","SU","COASTAL DUNE & CLIFFTOP",1997-09-19,"D","Day","GRAHAM K.L. Kate | OPPERMANN A.M. Alison","present but not counted","","5-50m",53,679827,6124774,-35.00368,136.97063,"verified","Schoenus nitens","CYPERACEAE","Shiny Bog-rush","","","Take track to Gleesons Landing. Before toilet cleared area on north with well and pump from cleared area to NW corner campsite up track from campsite. Follow sheep / human track to grassland site approx 100m.","Thidna (CP)","Y"
"310","OPP845943-4","OPP845943-4","OP","RIVER TORRENS LINEAR PARK WEED SURVEY",2013-08-13,"D","Day","ENVIRONMENTAL BIODIVERSITY SERVICES | BROWN T. Tonia | EVERITT A. N/A","present but not counted","","No entered",54,283614,6136712,-34.88896,138.63212,"verified","Cenchrus clandestinus","GRAMINEAE","Kikuyu","Infestation Description (patch no. individuals) =Patch; Weed Type = LARGE PATCH; Risk to asset? (Y/N) = YES; Priortisation Rating = P2","","Coordinates taken from start; LGA = Walkerville; MAP ID = 846; Management Unit = W1","","N"
"311","RVPO14792-59498","RVPO14792-59498","RV","",1998-12-16,"D","Day","O'CONNOR P.J. Patrick | MIBUS R. RAELENE","present but not counted","","251-500m",54,413600,6124342,-35.01988775,140.0529553,"verification required","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus socialis  / E. leptophylla Mallee with Melaleuca lanceolata +/- M. acuminata tall shrubland","Loxton to Murray Bridge RD 0.4 km NNE of Borrika","","N"
"312","RVPO20474-85141","RVPO20474-85141","RV","",1999-10-19,"D","Day","PLAYFAIR R.M. Roger | OBST C.S. Chris","present but not counted","","251-500m",53,734361,6138220,-34.87139117,137.5639936,"verification required","Pinus halepensis","PINACEAE","Aleppo Pine","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus gracilis Mallee","Yorketown - Minlaton RD 6.2 km ESE of Brentwood","","N"
"313","SUP8940-13","SUP8940-13","SU","SOUTH EAST",1991-09-18,"D","Day","NICOLSON K.P. Kym | NICOLSON C.R. Clare","present but not counted","","5-50m",54,395318,5998661,-36.15114,139.83631,"verified","Pterostylis sanguinea","ORCHIDACEAE","Blood Greenhood","","","Located on the downslope of a limestone rise with swampy depressions on either side about 4.8km west of the all weather road that goes from Tintinara to the Princes Highway.","","Y"
"314","SUP27390-227306","SUP27390-227306","SU","SANDY DESERT",2005-11-20,"D","Day","ROBINSON A.C. Tony | VONOW H.P. Helen","present but not counted","","5-50m",53,260442,6697074,-29.83359,132.52071,"verified","Waitzia acuminata var. acuminata","COMPOSITAE","Orange Immortelle","","","","","Y"
"315","OPP570529-1","OPP570529-1","OP","LOFTY BLOCK EPBC THREATENED ORCHIDS",2014-09-25,"D","Day","JURY T. Tim | QUARMBY J. Joe","54","","5-50m",54,287181,6122754,-35.01548,138.66756,"verified","Pterostylis cucullata ssp. sylvicola","ORCHIDACEAE","Leafy Greenhood","PLANTSNUMB=54","","Belair NP","Belair (NP)","Y"
"316","SUP12757-11","SUP12757-11","SU","NORTH OLARY PLAINS",1995-09-10,"D","Day","HYDE M.K. Michael","present but not counted","","5-50m",54,467587,6520874,-31.44639,140.65887,"verified","Harmsiodoxa brevipes var.","CRUCIFERAE","Short Cress","","","","","Y"
"317","RVPO36441-159594","RVPO36441-159594","RV","",2000-11-29,"D","Day","PLAYFAIR R.M. Roger | OBST C.S. Chris","present but not counted","","501-1000m",54,386177,5983944,-36.2827558,139.7325867,"verification required","Lagurus ovatus","GRAMINEAE","Hare's Tail Grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus diversifolia / Olearia axillaris Open Mallee","Princes HWY 10.5 km WNW of Tilley Swamp","","N"
"318","OPP927165-56","OPP927165-56","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2019-06-19,"D","Day","PICKETT M.I. Marcus","Present but not counted","","1-10km",54,428800,6135400,-34.92136,140.22049,"verified","Halgania andromedifolia","BORAGINACEAE","Scented Blue-flower","0","see other comments","Billiatt North West (Racecourse Rd) FIMS ID 659 (6.7 km SE of Halidon)","706 (HA)","Y"
"319","OPP982049-30","OPP982049-30","OP","EBS ECOLOGY - FLORA & FAUNA SURVEY SA",2018-11-19,"D","Day","EICHLER E. Emma","present but not counted","","5-50m",54,229887,6229728,-34.03836,138.07421,"verified","Vittadinia australasica var.","COMPOSITAE","Sticky New Holland Daisy","EBS Project Number = E70707; Observe tech = 30x30","","4 km NE of Kulpara;MILL003A","","Y"
"320","OPP520153-7","OPP520153-7","OP","EASTERN PLAINS FIRE TRIAL -KI",2010-10-14,"D","Day","OVERTON B.M. Bev | TAYLOR D. David","present but not counted","","5-50m",53,726871,6051117,-35.65775,137.50618,"verified","Sonchus asper","COMPOSITAE","Rough Sow-thistle","","Survey Timing 18 months post burn","Site RB6_1 - Plot 3 - Treatment CoppiceBurn - Survey Timing 18 months post burn","","N"
"321","OPP57696-1803468","OPP57696-1803468","OP","PAMS - PARK ASSET DATABASE",2002-07-10,"D","Day","ROBERTSON M.A. Meg","present but not counted","","501-1000m",54,289111,6148765,-34.78152,138.69526,"verified","Rytidosperma sp.","GRAMINEAE","Wallaby-grass"," ; Reserve type= RP; Reserve Code= 21; PAMS_PARK_ID= 244;  ; Braun-Blanquet= 4;  ;  ; Date_Stamp= 16-Aug-02;","","","Cobbler Creek (RP)","Y"
"322","RVPO77656-346890","RVPO77656-346890","RV","",2004-02-09,"D","Day","SUTHERLAND R.L. Robyn | TELFER S. Sarah","present but not counted","","1-10km",54,468029,6200457,-34.33669206,140.6524195,"verification required","Eucalyptus cyanophylla","MYRTACEAE","Blue-leaf Mallee","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus cyanophylla +/- E. oleosa +/- E. socialis +/- E. gracilis Mallee","Loxton - Paringa RD 3.3 km ENE of Bookpurnong","","Y"
"323","OPP442476-18","OPP442476-18","OP","MURRAY MALLEE 2012 LAF FIELDWORK",2012-10-25,"D","Day","MCCALLUM M. Melissa | CROFT T.S. Tim | BAILEY D. Dan","present but not counted","","5-50m",54,387902,6098288,-35.25224,139.76779,"verified","Senecio spanomerus","COMPOSITAE","","","Eucalyptus phenax ssp. phenax + E. dumosa + E. leptophylla Open Mallee over low trees of Callitris canescens and shrubs of Melaleuca lanceolata + M. acuminata ssp. acuminata.","","285 (HA)","Y"
"324","SUP7443-8-AD98714028","SUP7443-8-AD98714028","SU","NULLARBOR",1984-04-18,"D","Day","CANTY P.D. Peter","present but not counted","AD98714028","0-5m",52,745498,6517097,-31.45486,131.58352,"verified","Eucalyptus gracilis","MYRTACEAE","Yorrell","","","20 km W from Yalata Roadhouse.","","Y"
"325","SUP390034-18","SUP390034-18","SU","WESTERN MURRAY MALLEE LAF FIELDWORK",2010-09-13,"D","Day","LANG P.J. Peter | MCDONALD J.T. John","present but not counted","","5-50m",54,367655,6240585,-33.96694,139.5675,"verified","Elachanthus pusillus","COMPOSITAE","Elachanth","","","Edge of a small grove of Casuarina sp. visible from Pipeline Road.","","Y"
